fixture,round,team_home,uniqueid_home,team_away,uniqueid_away,team_home_gs,team_home_gc,team_away_gs,team_away_gc,team_home_win,team_home_draw,team_home_loss,team_away_win,team_away_draw,team_away_loss
58,6,12,9,16,13,3,0,0,3,1,0,0,0,0,1
54,6,5,24,13,10,0,5,5,0,0,0,1,1,0,0
52,6,3,21,17,17,1,2,2,1,0,0,1,1,0,0
69,7,19,20,14,11,3,1,1,3,1,0,0,0,0,1
63,7,5,24,4,3,1,2,2,1,0,0,1,1,0,0
66,7,10,22,17,17,0,2,2,0,0,0,1,1,0,0
61,7,1,1,18,18,2,0,0,2,1,0,0,0,0,1
62,7,2,2,7,5,2,1,1,2,1,0,0,0,0,1
65,7,8,6,9,25,3,0,0,3,1,0,0,0,0,1
70,7,20,26,16,13,2,0,0,2,1,0,0,0,0,1
64,7,6,4,12,9,1,1,1,1,0,1,0,0,1,0
68,7,15,23,11,8,0,2,2,0,0,0,1,1,0,0
67,7,13,10,3,21,2,0,0,2,1,0,0,0,0,1
71,8,3,21,19,20,1,0,0,1,1,0,0,0,0,1
72,8,4,3,10,22,1,1,1,1,0,1,0,0,1,0
74,8,9,25,1,1,1,5,5,1,0,0,1,1,0,0
73,8,7,5,20,26,0,1,1,0,0,0,1,1,0,0
80,8,18,18,2,2,0,4,4,0,0,0,1,1,0,0
76,8,12,9,13,10,0,0,0,0,0,1,0,0,1,0
75,8,11,8,8,6,1,2,2,1,0,0,1,1,0,0
77,8,14,11,15,23,3,2,2,3,1,0,0,0,0,1
78,8,16,13,6,4,0,3,3,0,0,0,1,1,0,0
79,8,17,17,5,24,1,0,0,1,1,0,0,0,0,1
89,9,19,20,17,17,0,1,1,0,0,0,1,1,0,0
87,9,13,10,4,3,5,0,0,5,1,0,0,0,0,1
86,9,10,22,12,9,0,1,1,0,0,0,1,1,0,0
81,9,1,1,11,8,3,1,1,3,1,0,0,0,0,1
85,9,8,6,7,5,2,0,0,2,1,0,0,0,0,1
90,9,20,26,18,18,0,2,2,0,0,0,1,1,0,0
83,9,5,24,9,25,4,2,2,4,1,0,0,0,0,1
82,9,2,2,16,13,0,0,0,0,0,1,0,0,1,0
84,9,6,4,14,11,2,2,2,2,0,1,0,0,1,0
88,9,15,23,3,21,0,1,1,0,0,0,1,1,0,0
95,10,11,8,19,20,1,1,1,1,0,1,0,0,1,0
92,10,4,3,6,4,0,4,4,0,0,0,1,1,0,0
100,10,18,18,10,22,3,0,0,3,1,0,0,0,0,1
93,10,7,5,1,1,2,2,2,2,0,1,0,0,1,0
94,10,9,25,2,2,0,3,3,0,0,0,1,1,0,0
91,10,3,21,20,26,1,0,0,1,1,0,0,0,0,1
96,10,12,9,5,24,4,1,1,4,1,0,0,0,0,1
97,10,14,11,8,6,2,1,1,2,1,0,0,0,0,1
98,10,16,13,15,23,0,0,0,0,0,1,0,0,1,0
99,10,17,17,13,10,0,1,1,0,0,0,1,1,0,0
109,11,19,20,4,3,4,2,2,4,1,0,0,0,0,1
106,11,10,22,9,25,1,0,0,1,1,0,0,0,0,1
101,11,1,1,12,9,1,1,1,1,0,1,0,0,1,0
104,11,6,4,7,5,3,1,1,3,1,0,0,0,0,1
108,11,15,23,18,18,1,0,0,1,1,0,0,0,0,1
110,11,20,26,17,17,2,3,3,2,0,0,1,1,0,0
102,11,2,2,14,11,1,2,2,1,0,0,1,1,0,0
105,11,8,6,3,21,3,1,1,3,1,0,0,0,0,1
103,11,5,24,11,8,0,1,1,0,0,0,1,1,0,0
107,11,13,10,16,13,6,1,1,6,1,0,0,0,0,1
115,12,10,22,19,20,1,1,1,1,0,1,0,0,1,0
116,12,11,8,4,3,0,0,0,0,0,1,0,0,1,0
111,12,1,1,20,26,1,1,1,1,0,1,0,0,1,0
114,12,7,5,17,17,0,1,1,0,0,0,1,1,0,0
120,12,16,13,18,18,1,1,1,1,0,1,0,0,1,0
117,12,12,9,9,25,2,0,0,2,1,0,0,0,0,1
119,12,15,23,2,2,2,1,1,2,1,0,0,0,0,1
113,12,6,4,8,6,0,0,0,0,0,1,0,0,1,0
118,12,13,10,14,11,3,1,1,3,1,0,0,0,0,1
112,12,5,24,3,21,2,1,1,2,1,0,0,0,0,1
129,13,19,20,13,10,0,4,4,0,0,0,1,1,0,0
123,13,4,3,15,23,1,2,2,1,0,0,1,1,0,0
130,13,20,26,10,22,0,2,2,0,0,0,1,1,0,0
121,13,2,2,1,1,1,2,2,1,0,0,1,1,0,0
126,13,14,11,7,5,0,0,0,0,0,1,0,0,1,0
128,13,18,18,12,9,0,3,3,0,0,0,1,1,0,0
125,13,9,25,16,13,3,2,2,3,1,0,0,0,0,1
124,13,8,6,5,24,1,0,0,1,1,0,0,0,0,1
122,13,3,21,11,8,1,1,1,1,0,1,0,0,1,0
127,13,17,17,6,4,3,1,1,3,1,0,0,0,0,1
139,14,15,23,19,20,0,3,3,0,0,0,1,1,0,0
134,14,7,5,4,3,2,0,0,2,1,0,0,0,0,1
135,14,10,22,3,21,1,2,2,1,0,0,1,1,0,0
131,14,1,1,17,17,4,2,2,4,1,0,0,0,0,1
136,14,11,8,18,18,2,0,0,2,1,0,0,0,0,1
133,14,6,4,9,25,2,0,0,2,1,0,0,0,0,1
132,14,5,24,20,26,2,1,1,2,1,0,0,0,0,1
137,14,12,9,8,6,1,0,0,1,1,0,0,0,0,1
138,14,13,10,2,2,3,1,1,3,1,0,0,0,0,1
140,14,16,13,14,11,2,2,2,2,0,1,0,0,1,0
147,15,19,20,5,24,3,1,1,3,1,0,0,0,0,1
143,15,4,3,12,9,1,3,3,1,0,0,1,1,0,0
141,15,2,2,10,22,2,1,1,2,1,0,0,0,0,1
145,15,14,11,1,1,2,2,2,2,0,1,0,0,1,0
142,15,3,21,7,5,3,1,1,3,1,0,0,0,0,1
146,15,18,18,13,10,1,2,2,1,0,0,1,1,0,0
144,15,9,25,11,8,1,1,1,1,0,1,0,0,1,0
148,15,20,26,6,4,2,1,1,2,1,0,0,0,0,1
149,15,8,6,15,23,1,1,1,1,0,1,0,0,1,0
150,15,17,17,16,13,3,1,1,3,1,0,0,0,0,1
160,16,19,20,7,5,3,2,2,3,1,0,0,0,0,1
153,16,4,3,3,21,1,0,0,1,1,0,0,0,0,1
151,16,1,1,10,22,1,0,0,1,1,0,0,0,0,1
156,16,8,6,18,18,2,2,2,2,0,1,0,0,1,0
158,16,14,11,9,25,4,1,1,4,1,0,0,0,0,1
159,16,15,23,20,26,1,2,2,1,0,0,1,1,0,0
152,16,2,2,12,9,0,4,4,0,0,0,1,1,0,0
157,16,11,8,17,17,0,2,2,0,0,0,1,1,0,0
154,16,5,24,16,13,1,0,0,1,1,0,0,0,0,1
155,16,6,4,13,10,2,0,0,2,1,0,0,0,0,1
163,17,9,25,19,20,0,2,2,0,0,0,1,1,0,0
168,17,17,17,4,3,1,0,0,1,1,0,0,0,0,1
164,17,10,22,15,23,0,1,1,0,0,0,1,1,0,0
167,17,16,13,1,1,3,2,2,3,1,0,0,0,0,1
162,17,7,5,11,8,1,0,0,1,1,0,0,0,0,1
169,17,18,18,5,24,3,2,2,3,1,0,0,0,0,1
170,17,20,26,2,2,2,0,0,2,1,0,0,0,0,1
165,17,12,9,14,11,3,1,1,3,1,0,0,0,0,1
166,17,13,10,8,6,3,1,1,3,1,0,0,0,0,1
161,17,3,21,6,4,1,2,2,1,0,0,1,1,0,0
179,18,19,20,18,18,0,2,2,0,0,0,1,1,0,0
171,18,1,1,4,3,3,1,1,3,1,0,0,0,0,1
176,18,10,22,16,13,1,3,3,1,0,0,1,1,0,0
177,18,13,10,7,5,2,3,3,2,0,0,1,1,0,0
178,18,15,23,9,25,0,0,0,0,0,1,0,0,1,0
180,18,20,26,12,9,0,2,2,0,0,0,1,1,0,0
172,18,2,2,3,21,2,0,0,2,1,0,0,0,0,1
175,18,8,6,17,17,2,6,6,2,0,0,1,1,0,0
174,18,6,4,11,8,0,1,1,0,0,0,1,1,0,0
173,18,5,24,14,11,1,5,5,1,0,0,1,1,0,0
188,19,16,13,19,20,1,2,2,1,0,0,1,1,0,0
182,19,4,3,8,6,1,5,5,1,0,0,1,1,0,0
187,19,14,11,10,22,3,1,1,3,1,0,0,0,0,1
181,19,3,21,1,1,1,1,1,1,0,1,0,0,1,0
183,19,7,5,5,24,0,0,0,0,0,1,0,0,1,0
190,19,18,18,6,4,1,2,2,1,0,0,1,1,0,0
184,19,9,25,20,26,1,1,1,1,0,1,0,0,1,0
186,19,12,9,15,23,4,0,0,4,1,0,0,0,0,1
189,19,17,17,2,2,5,0,0,5,1,0,0,0,0,1
185,19,11,8,13,10,2,1,1,2,1,0,0,0,0,1
192,20,4,3,19,20,2,0,0,2,1,0,0,0,0,1
194,20,9,25,10,22,1,0,0,1,1,0,0,0,0,1
196,20,12,9,1,1,5,1,1,5,1,0,0,0,0,1
193,20,7,5,6,4,0,1,1,0,0,0,1,1,0,0
200,20,18,18,15,23,1,1,1,1,0,1,0,0,1,0
199,20,17,17,20,26,1,3,3,1,0,0,1,1,0,0
197,20,14,11,2,2,4,1,1,4,1,0,0,0,0,1
191,20,3,21,8,6,1,0,0,1,1,0,0,0,0,1
195,20,11,8,5,24,0,1,1,0,0,0,1,1,0,0
198,20,16,13,13,10,1,3,3,1,0,0,1,1,0,0
209,21,19,20,3,21,2,2,2,2,0,1,0,0,1,0
206,21,10,22,4,3,1,2,2,1,0,0,1,1,0,0
201,21,1,1,9,25,4,1,1,4,1,0,0,0,0,1
210,21,20,26,7,5,0,2,2,0,0,0,1,1,0,0
202,21,2,2,18,18,3,3,3,3,0,1,0,0,1,0
207,21,13,10,12,9,2,1,1,2,1,0,0,0,0,1
205,21,8,6,11,8,0,1,1,0,0,0,1,1,0,0
