assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,name_first,name_last,name,season,element_type,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc
0,0,4,0,0.8,515,8,0,0,0.2,1.2,2020-09-14T17:00:00Z,4,15,0,0,0,0,1,0,2432,2,0,0.0,1,0,0,0,50,False,0,Vitor,Ferreira,Vitor_Ferreira,2020,3,20.0,3,1,0,0,2,0,2,1,1,0,5,12,11,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,516,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,71203,3,0,0.0,0,0,0,0,45,True,0,Alphonse,Areola,Alphonse_Areola,2020,1,8.0,0,0,0,1,0,3,-3,1,2,0,19,10,13,0,0,0,1,3,4,-1,1,0,0
0,0,0,0,0.0,517,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,7610,3,0,0.0,0,0,0,0,45,True,0,Kenny,Tete,Kenny_Tete,2020,2,8.0,0,0,0,1,0,3,-3,1,2,0,19,10,13,0,0,0,1,3,4,-1,1,0,0
0,0,11,1,3.5,518,5,0,0,1.3,9.8,2020-09-13T13:00:00Z,90,18,0,0,0,0,1,0,17814,3,0,0.0,3,0,0,0,45,False,0,Nampalys,Mendy,Nampalys_Mendy,2020,3,9.0,3,1,0,0,3,0,3,1,1,0,2,4,10,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,521,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,7,0,0,0,0,1,0,14540,1,0,0.0,0,0,0,0,40,True,0,Cameron,Carter-Vickers,Cameron_Carter-Vickers,2020,2,17.0,0,0,0,1,0,1,-1,1,1,0,15,16,14,0,0,0,1,0,1,-1,1,1,0
0,0,0,0,0.0,522,1,0,0,0.0,0.0,2020-09-12T14:00:00Z,0,16,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,40,True,0,Sam,Woods,Sam_Woods,2020,2,6.0,3,1,0,0,1,0,1,1,2,0,7,13,12,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,523,1,0,0,0.0,0.0,2020-09-12T14:00:00Z,0,6,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,40,False,0,Fraser,Forster,Fraser_Forster,2020,1,16.0,0,0,0,1,0,1,-1,1,1,0,14,17,15,0,0,0,1,0,1,-1,1,1,0
0,0,0,0,0.0,524,1,0,0,0.0,0.0,2020-09-12T14:00:00Z,0,6,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,45,False,0,Nathan,Tella,Nathan_Tella,2020,3,16.0,0,0,0,1,0,1,-1,1,1,0,14,17,15,0,0,0,1,0,1,-1,1,1,0
0,0,12,0,2.6,525,2,3,0,2.1,11.4,2020-09-12T11:30:00Z,90,1,0,0,0,0,1,0,0,3,0,7.0,1,0,0,0,45,True,0,Denis,Odoi,Denis_Odoi,2020,2,8.0,0,0,0,1,0,3,-3,1,2,0,19,10,13,0,0,0,1,3,4,-1,1,0,0
0,0,15,1,3.8,526,2,0,0,3.2,10.6,2020-09-12T11:30:00Z,90,8,0,0,0,0,1,0,0,3,0,18.0,3,0,0,0,45,False,0,Mohamed Naser,El Sayed Elneny,Mohamed Naser_El Sayed Elneny,2020,3,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,0,0,0.0,527,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,0,3,0,0.0,0,0,0,0,40,False,0,Matt,Macey,Matt_Macey,2020,1,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,0,0,0.0,528,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,0,3,1,0.0,0,0,0,0,40,True,0,Jason,Steele,Jason_Steele,2020,1,3.0,0,0,0,1,1,3,-2,1,1,0,16,14,4,3,1,0,0,2,0,2,1,2,0
0,0,0,0,0.0,529,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,0,2,0,0.0,0,0,0,0,40,True,0,Phil,Jagielka,Phil_Jagielka,2020,2,15.0,0,0,0,1,0,2,-2,1,2,0,17,2,9,0,0,0,0,0,0,0,0,0,0
