name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,season,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc,name_first,name_last,element_type
Erik_Pieters_447,0,0,0,0,0.0,447,235,0,0,0.0,0.0,2020-01-22T20:15:00Z,0,12,0,0,0,0,24,0,334422,2,0,0.0,0,-14400,433,14833,43,False,0,5.0,30,9,3,12,28,38,-10,24,43,0,13,2019,1,10,31,6,13,6,32,34,-2,25,61,3,Erik,Pieters,2
Ethan_Ampadu_121,0,0,0,0,0.0,121,238,0,0,0.0,0.0,2020-01-21T20:15:00Z,0,1,0,0,0,0,24,0,1265,2,2,0.0,0,6,49,43,44,True,0,6.0,40,12,4,8,41,32,9,24,43,0,4,2019,9,3,49,15,4,6,54,26,28,25,27,0,Ethan,Ampadu,3
Etienne_Capoue_373,0,0,10,0,2.7,373,231,2,0,2.0,16.8,2020-01-21T19:30:00Z,90,2,0,0,0,0,24,0,23359,1,2,0.0,2,719,1634,915,48,False,0,18.0,23,5,8,11,21,36,-15,24,52,3,19,2019,8,9,33,9,6,10,31,37,-6,25,44,3,Etienne,Capoue,3
Ezequiel_Schelotto_546,0,0,0,0,0.0,546,232,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,3,0,0,0,0,24,0,36312,1,3,0.0,0,-1227,879,2106,40,False,0,4.0,25,6,7,11,27,34,-7,24,35,2,15,2019,19,18,24,6,6,13,30,43,-13,25,46,1,Ezequiel,Schelotto,2
Ezri_Konsa Ngoyo_452,1,1,18,0,12.8,452,231,1,0,6.5,29.0,2020-01-21T19:30:00Z,90,18,0,0,0,0,24,0,6652,1,2,23.0,6,-42,188,230,43,True,0,2.0,25,7,4,13,31,45,-14,24,43,1,16,2019,3,16,26,7,5,13,25,38,-13,25,48,3,Ezri,Konsa Ngoyo,2
Fabian_Delph_205,0,0,14,0,7.3,205,233,2,0,2.2,14.8,2020-01-21T19:30:00Z,90,13,0,0,0,0,24,0,14555,2,2,0.0,1,409,768,359,53,True,0,8.0,30,8,6,10,28,35,-7,24,42,2,12,2019,18,19,23,5,8,12,23,39,-16,25,54,3,Fabian,Delph,2
Fabian_Schär_252,1,0,13,0,0.5,252,233,0,0,2.8,1.8,2020-01-21T19:30:00Z,12,8,0,0,0,0,24,0,91453,2,2,26.0,4,-577,907,1484,50,False,0,13.0,30,8,6,10,24,36,-12,24,42,2,14,2019,14,20,18,4,6,15,24,47,-23,25,48,1,Fabian,Schär,2
Fabio Henrique_Tavares_197,0,0,4,0,1.1,197,237,0,0,0.6,3.2,2020-01-23T20:00:00Z,20,20,0,0,0,0,24,0,71475,2,1,2.0,1,476,975,499,54,False,0,10.0,70,23,1,0,56,15,41,24,24,1,1,2019,16,13,31,9,4,12,31,46,-15,25,37,2,Fabio Henrique,Tavares,3
Fabio Henrique_Tavares_197,0,0,7,0,1.5,197,180,0,0,0.4,2.4,2020-01-29T19:45:00Z,21,19,0,0,0,0,24,0,71475,2,0,0.0,1,476,975,499,54,False,0,10.0,70,23,1,0,56,15,41,24,24,1,1,2019,16,13,31,9,4,12,31,46,-15,25,37,2,Fabio Henrique,Tavares,3
Fabián_Balbuena_382,0,0,0,0,0.0,382,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,9,0,0,0,0,24,0,36572,1,4,0.0,0,-2418,1137,3555,43,False,0,19.0,23,6,5,13,27,40,-13,24,45,1,17,2019,4,15,26,6,8,11,30,37,-7,25,36,2,Fabián,Balbuena,2
Fabián_Balbuena_382,0,0,0,0,0.0,382,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,10,0,0,0,0,24,0,36572,2,0,0.0,0,-2418,1137,3555,43,True,0,19.0,23,6,5,13,27,40,-13,24,45,1,17,2019,4,15,26,6,8,11,30,37,-7,25,36,2,Fabián,Balbuena,2
Federico_Fernández_254,0,0,9,0,1.2,254,233,2,0,3.7,15.0,2020-01-21T19:30:00Z,90,8,0,0,0,0,24,0,54931,2,2,21.0,1,8962,11787,2825,44,False,0,13.0,30,8,6,10,24,36,-12,24,42,2,14,2019,14,20,18,4,6,15,24,47,-23,25,48,1,Federico,Fernández,2
Felipe Anderson_Pereira Gomes_390,0,0,0,0,0.0,390,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,9,0,0,0,0,24,0,207896,1,4,0.0,0,-12936,901,13837,66,False,0,19.0,23,6,5,13,27,40,-13,24,45,1,17,2019,4,15,26,6,8,11,30,37,-7,25,36,2,Felipe Anderson,Pereira Gomes,3
Felipe Anderson_Pereira Gomes_390,0,0,0,0,0.0,390,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,10,0,0,0,0,24,0,207896,2,0,0.0,0,-12936,901,13837,66,True,0,19.0,23,6,5,13,27,40,-13,24,45,1,17,2019,4,15,26,6,8,11,30,37,-7,25,36,2,Felipe Anderson,Pereira Gomes,3
Fernando_Luiz Rosa_221,0,0,14,1,32.5,221,236,0,0,5.8,21.6,2020-01-21T19:30:00Z,90,15,0,0,0,0,24,0,50649,1,0,4.0,2,-863,931,1794,52,False,1,11.0,51,16,3,5,65,27,38,24,44,2,2,2019,17,5,37,10,7,8,40,32,8,25,49,3,Fernando,Luiz Rosa,3
Fikayo_Tomori_529,0,0,0,0,0.0,529,238,0,0,0.0,0.0,2020-01-21T20:15:00Z,0,1,0,0,0,0,24,0,182034,2,2,0.0,0,-35374,1463,36837,45,True,0,6.0,40,12,4,8,41,32,9,24,43,0,4,2019,9,3,49,15,4,6,54,26,28,25,27,0,Fikayo,Tomori,2
Filip_Benkovic_597,0,0,0,0,0.0,597,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,19,0,0,0,0,24,0,944,1,4,0.0,0,186,258,72,40,True,0,9.0,48,15,3,6,52,24,28,24,25,0,3,2019,6,4,41,12,5,8,43,34,9,25,45,0,Filip,Benkovic,2
Florian_Lejeune_257,0,1,27,0,0.5,257,233,0,2,13.4,67.8,2020-01-21T19:30:00Z,20,8,0,0,0,0,24,0,894,2,2,66.0,14,-42,29,71,44,False,0,13.0,30,8,6,10,24,36,-12,24,42,2,14,2019,14,20,18,4,6,15,24,47,-23,25,48,1,Florian,Lejeune,2
Florin_Andone_46,0,0,0,0,0.0,46,232,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,3,0,0,0,0,24,0,26625,1,3,0.0,0,-155,45,200,47,False,0,4.0,25,6,7,11,27,34,-7,24,35,2,15,2019,19,18,24,6,6,13,30,43,-13,25,46,1,Florin,Andone,4
Francisco_Femenía Far_357,0,0,0,0,0.0,357,231,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,2,0,0,0,0,24,0,38441,1,2,0.0,0,-6321,44,6365,42,False,0,18.0,23,5,8,11,21,36,-15,24,52,3,19,2019,8,9,33,9,6,10,31,37,-6,25,44,3,Francisco,Femenía Far,2
Fraser_Forster_317,0,0,0,0,0.0,317,239,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,7,0,0,0,0,24,0,23206,2,0,0.0,0,-189,28,217,43,False,0,16.0,31,9,4,11,31,42,-11,24,35,2,9,2019,10,1,73,24,1,0,60,15,45,25,24,1,Fraser,Forster,1
